locality,ref_lat,ref_lon,notes
Puerto de Ranadoiro,42.996811,-6.63489,Google Maps_manual
Puerto de Tarna,43.084289,-5.217645,Google Maps_manual
Puerto de San Glorio,43.066884,-4.765728,Google Maps_manual
Puerto de las Senales,43.075495,-5.243387,Google Maps_manual
Marana,43.04931,-5.180763,Google Maps_manual
Puerto de Pajares,42.992931,-5.759654,Google Maps_manual
Puerto de la Magdalena,42.867892,-6.210745,Google Maps_manual
Puerto de Leitariegos,42.998381,-6.417662,Google Maps_manual
Puerto el Palo,43.272423,-6.677801,Google Maps_manual
Fuente De,43.144041,-4.811635,Google Maps_manual
Puerto de Aralla,42.903926,-5.804721,Google Maps_manual
